City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
509,princeville,45.7668,-61.2985,35.6,93,100,2.3,CA,1712101266
510,viqueque,-8.8673,126.3658,81.32,81,94,2.39,TL,1712101266
511,nova vicosa,-17.8919,-39.3719,77.77,87,93,4.23,BR,1712101267
512,misliyah,17.4599,42.5572,85.1,65,58,1.28,SA,1712101267
513,berberati,4.2612,15.7922,72.95,68,85,2.42,CF,1712101268
514,homer,59.6425,-151.5483,32.04,76,100,5.75,US,1712101268
515,aleksandrovsk-sakhalinskiy,50.8975,142.1561,31.57,91,75,6.78,RU,1712101269
516,kitimat,54.0524,-128.6534,44.98,95,96,5.41,CA,1712101269
517,paciran,-6.8767,112.3761,80.35,86,55,4.83,ID,1712101270
518,ugoofaaru,5.6667,73.0,83.39,70,86,2.37,MV,1712101270
519,novouzensk,50.4592,48.1431,46.76,66,14,10.8,RU,1712101271
520,charlestown,-32.95,151.6667,71.11,66,31,1.01,AU,1712100987
521,auki,-8.7676,160.7034,80.78,84,100,4.29,SB,1712101272
522,galesong,-5.3166,119.3661,77.02,82,100,5.73,ID,1712101272
523,gadani,25.1185,66.7299,77.22,83,81,11.97,PK,1712101273
524,torrington,41.8007,-73.1212,44.58,95,100,4.0,US,1712101103
525,bulgan,48.8125,103.5347,28.24,51,11,3.04,MN,1712101274
526,daru,-9.0763,143.2092,85.19,74,86,3.78,PG,1712101274
527,holualoa,19.6228,-155.9522,78.64,83,0,11.5,US,1712101141
528,heyuan,23.7333,114.6833,77.54,77,6,4.34,CN,1712101275
529,amahai,-3.3333,128.9167,80.2,86,100,5.97,ID,1712101275
530,luwuk,-0.9516,122.7875,84.16,72,97,0.4,ID,1712101276
531,pathein,16.7833,94.7333,76.93,85,2,7.0,MM,1712101276
532,turabah,21.2141,41.6331,67.62,65,1,7.2,SA,1712101277
533,nar'yan-mar,67.6713,53.087,2.1,91,5,11.01,RU,1712101278
534,pustoshka,56.3355,29.369,55.72,81,74,8.43,RU,1712101278
535,hobyo,5.3505,48.5268,82.69,74,29,9.13,SO,1712101279
536,merritt island,28.5392,-80.672,81.05,76,20,12.66,US,1712101279
537,blenheim,-41.516,173.9528,69.53,60,27,4.0,NZ,1712101279
538,gangneung,37.7556,128.8961,45.16,86,100,7.31,KR,1712101280
539,san antonio de pale,-1.4014,5.6325,83.64,75,83,4.72,GQ,1712101280
540,chepo,9.1667,-79.1,87.58,76,81,7.05,PA,1712101281
541,puerto quijarro,-17.7833,-57.7667,83.89,67,100,2.28,BO,1712101281
542,fonte boa,-2.4959,-66.2662,78.35,92,89,2.39,BR,1712101282
543,isangel,-19.55,169.2667,84.31,74,75,8.05,VU,1712101282
544,puerto lempira,15.2667,-83.7667,80.96,71,48,13.11,HN,1712101283
545,freetown,8.484,-13.2299,77.95,78,75,9.44,SL,1712101283
546,sokcho,38.2083,128.5911,45.21,81,75,4.61,KR,1712101284
